,b,new_solar_cap,new_wind_cap,node_id,,,
0,50,0,3,0,,,
1,50,0,3,1,,,
2,50,0,3,2,,,
3,50,0,3,3,,,
4,50,0,3,4,,,
5,50,0,3,5,,,
6,50,0,3,6,,,
7,50,0,0.33,7,,,
8,50,0,0.33,8,,,
9,50,0,0.33,9,,,
10,50,0,0,10,,,
11,50,0,0,11,,,
12,50,0,0,12,,,
13,50,0,0,13,,,
14,50,0,0,14,,,
15,50,0,0,15,,,
16,50,0,0,16,,,
17,50,0,0,17,,,
18,50,0,0,18,,,
19,50,0,0,19,,,
20,50,0,0,20,,,
21,50,0,0,21,,,
22,50,0,0,22,,,
23,50,0,0,23,,,
24,50,0,0,24,,,
25,50,0,0,25,,,
26,50,0,0,26,,,
27,50,0,0,27,,,
28,50,0,0,28,,,
29,50,0,0,29,,,
30,50,0,0,30,,,
31,50,0,0,31,,,
32,50,0,0,32,,,
33,50,0,0,33,,,
34,50,0,0,34,,,
35,50,0,0,35,,,
36,50,0,0,36,,,
37,50,0,0,37,,,
38,50,0,0,38,,,
39,100,0,3,0,,,
40,100,0,3,1,,,
41,100,0,3,2,,,
42,100,0,3,3,,,
43,100,0,3,4,,,
44,100,0,3,5,,,
45,100,0,3,6,,,
46,100,0,3,7,,,
47,100,0,3,8,,,
48,100,0,3,9,,,
49,100,0,3,10,,,
50,100,0,3,11,,,
51,100,0,3,12,,,
52,100,0,3,13,,,
53,100,0,0.33,14,,,
54,100,0,0.33,15,,,
55,100,0,0.33,16,,,
56,100,0,0.33,17,,,
57,100,0,0.33,18,,,
58,100,0,0.33,19,,,
59,100,0,0,20,,,
60,100,0,0,21,,,
61,100,0,0,22,,,
62,100,0,0,23,,,
63,100,0,0,24,,,
64,100,0,0,25,,,
65,100,0,0,26,,,
66,100,0,0,27,,,
67,100,0,0,28,,,
68,100,0,0,29,,,
69,100,0,0,30,,,
70,100,0,0,31,,,
71,100,0,0,32,,,
72,100,0,0,33,,,
73,100,0,0,34,,,
74,100,0,0,35,,,
75,100,0,0,36,,,
76,100,0,0,37,,,
77,100,0,0,38,,,
78,150,0,3,0,,,
79,150,0,3,1,,,
80,150,0,3,2,,,
81,150,0,3,3,,,
82,150,0,3,4,,,
83,150,0,3,5,,,
84,150,0,3,6,,,
85,150,0,3,7,,,
86,150,0,3,8,,,
87,150,0,3,9,,,
88,150,0,3,10,,,
89,150,0,3,11,,,
90,150,0,3,12,,,
91,150,0,3,13,,,
92,150,0,3,14,,,
93,150,0,3,15,,,
94,150,0,3,16,,,
95,150,0,3,17,,,
96,150,0,3,18,,,
97,150,0,3,19,,,
98,150,0,1.19,20,,,
99,150,0,1.19,21,,,
100,150,0,1.19,22,,,
101,150,0,1.19,23,,,
102,150,0,1.19,24,,,
103,150,0,0,25,,,
104,150,0,0,26,,,
105,150,0,0,27,,,
106,150,0,0,28,,,
107,150,0,0,29,,,
108,150,0,0,30,,,
109,150,0,0,31,,,
110,150,0,0,32,,,
111,150,0,0,33,,,
112,150,0,0,34,,,
113,150,0,0,35,,,
114,150,0,0,36,,,
115,150,0,0,37,,,
116,150,0,0,38,,,
